Benchmark,type,OS,CPU,Dataset,Execution_time,RAM_usage_kb,CPU_usage
Alignment Concatenation,Benchmarking SEGUL,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/oliveros_2019_80p_trimmed,0:03.56,653688,158%
Alignment Concatenation,Benchmarking SEGUL,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/oliveros_2019_80p_trimmed,0:03.58,655648,148%
Alignment Concatenation,Benchmarking SEGUL,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/oliveros_2019_80p_trimmed,0:03.59,653112,147%
Alignment Concatenation,Benchmarking SEGUL,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/oliveros_2019_80p_trimmed,0:03.55,648300,149%
Alignment Concatenation,Benchmarking SEGUL,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/jarvis_2014_uce_filtered_w_gator,0:03.99,515720,115%
Alignment Concatenation,Benchmarking SEGUL,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/jarvis_2014_uce_filtered_w_gator,0:03.71,522064,137%
Alignment Concatenation,Benchmarking SEGUL,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/jarvis_2014_uce_filtered_w_gator,0:03.70,522328,136%
Alignment Concatenation,Benchmarking SEGUL,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/jarvis_2014_uce_filtered_w_gator,0:03.68,529656,133%
Alignment Concatenation,Benchmarking SEGUL,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/jarvis_2014_uce_filtered_w_gator,0:03.82,522472,135%
Alignment Concatenation,Benchmarking SEGUL,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/jarvis_2014_uce_filtered_w_gator,0:03.79,521204,134%
Alignment Concatenation,Benchmarking SEGUL,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/jarvis_2014_uce_filtered_w_gator,0:03.84,521748,135%
Alignment Concatenation,Benchmarking SEGUL,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/jarvis_2014_uce_filtered_w_gator,0:03.71,523904,136%
Alignment Concatenation,Benchmarking SEGUL,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/jarvis_2014_uce_filtered_w_gator,0:03.70,522984,136%
Alignment Concatenation,Benchmarking SEGUL,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/jarvis_2014_uce_filtered_w_gator,0:03.81,521840,135%
Alignment Concatenation,Benchmarking SEGUL,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/chan_2020_loci/,0:02.35,390988,130%
Alignment Concatenation,Benchmarking SEGUL,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/chan_2020_loci/,0:02.24,391224,170%
Alignment Concatenation,Benchmarking SEGUL,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/chan_2020_loci/,0:02.20,388260,171%
Alignment Concatenation,Benchmarking SEGUL,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/chan_2020_loci/,0:02.28,392292,166%
Alignment Concatenation,Benchmarking SEGUL,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/chan_2020_loci/,0:02.24,391620,167%
Alignment Concatenation,Benchmarking SEGUL,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/chan_2020_loci/,0:02.26,390804,171%
Alignment Concatenation,Benchmarking SEGUL,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/chan_2020_loci/,0:02.24,392696,170%
Alignment Concatenation,Benchmarking SEGUL,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/chan_2020_loci/,0:02.22,391024,176%
Alignment Concatenation,Benchmarking SEGUL,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/chan_2020_loci/,0:02.22,389976,168%
Alignment Concatenation,Benchmarking SEGUL,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/chan_2020_loci/,0:02.22,391572,166%
Alignment Concatenation,Benchmarking SEGUL ignore datatype,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/esselstyn_2021_nexus_trimmed,0:00.95,606716,226%
Alignment Concatenation,Benchmarking SEGUL ignore datatype,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/esselstyn_2021_nexus_trimmed,0:00.98,614228,206%
Alignment Concatenation,Benchmarking SEGUL ignore datatype,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/esselstyn_2021_nexus_trimmed,0:00.95,608480,220%
Alignment Concatenation,Benchmarking SEGUL ignore datatype,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/esselstyn_2021_nexus_trimmed,0:00.96,600792,224%
Alignment Concatenation,Benchmarking SEGUL ignore datatype,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/esselstyn_2021_nexus_trimmed,0:00.96,611096,218%
Alignment Concatenation,Benchmarking SEGUL ignore datatype,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/esselstyn_2021_nexus_trimmed,0:00.96,602892,216%
Alignment Concatenation,Benchmarking SEGUL ignore datatype,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/esselstyn_2021_nexus_trimmed,0:00.98,607872,223%
Alignment Concatenation,Benchmarking SEGUL ignore datatype,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/esselstyn_2021_nexus_trimmed,0:00.95,600068,213%
Alignment Concatenation,Benchmarking SEGUL ignore datatype,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/esselstyn_2021_nexus_trimmed,0:00.96,603052,222%
Alignment Concatenation,Benchmarking SEGUL ignore datatype,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/esselstyn_2021_nexus_trimmed,0:00.96,606240,233%
Alignment Concatenation,Benchmarking SEGUL ignore datatype,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/oliveros_2019_80p_trimmed,0:01.41,650904,234%
Alignment Concatenation,Benchmarking SEGUL ignore datatype,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/oliveros_2019_80p_trimmed,0:01.40,646984,221%
Alignment Concatenation,Benchmarking SEGUL ignore datatype,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/oliveros_2019_80p_trimmed,0:01.42,650476,220%
Alignment Concatenation,Benchmarking SEGUL ignore datatype,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/oliveros_2019_80p_trimmed,0:01.42,648076,219%
Alignment Concatenation,Benchmarking SEGUL ignore datatype,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/oliveros_2019_80p_trimmed,0:01.40,648760,225%
Alignment Concatenation,Benchmarking SEGUL ignore datatype,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/oliveros_2019_80p_trimmed,0:01.42,650896,225%
Alignment Concatenation,Benchmarking SEGUL ignore datatype,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/oliveros_2019_80p_trimmed,0:01.44,656528,222%
Alignment Concatenation,Benchmarking SEGUL ignore datatype,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/oliveros_2019_80p_trimmed,0:01.43,652636,226%
Alignment Concatenation,Benchmarking SEGUL ignore datatype,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/oliveros_2019_80p_trimmed,0:01.43,651368,222%
Alignment Concatenation,Benchmarking SEGUL ignore datatype,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/oliveros_2019_80p_trimmed,0:01.41,651148,226%
Alignment Concatenation,Benchmarking SEGUL ignore datatype,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/jarvis_2014_uce_filtered_w_gator,0:00.96,522668,231%
Alignment Concatenation,Benchmarking SEGUL ignore datatype,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/jarvis_2014_uce_filtered_w_gator,0:00.99,523424,240%
Alignment Concatenation,Benchmarking SEGUL ignore datatype,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/jarvis_2014_uce_filtered_w_gator,0:00.96,525672,233%
Alignment Concatenation,Benchmarking SEGUL ignore datatype,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/jarvis_2014_uce_filtered_w_gator,0:00.97,522820,248%
Alignment Concatenation,Benchmarking SEGUL ignore datatype,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/jarvis_2014_uce_filtered_w_gator,0:00.98,529980,241%
Alignment Concatenation,Benchmarking SEGUL ignore datatype,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/jarvis_2014_uce_filtered_w_gator,0:00.99,528908,230%
Alignment Concatenation,Benchmarking SEGUL ignore datatype,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/jarvis_2014_uce_filtered_w_gator,0:00.99,525120,239%
Alignment Concatenation,Benchmarking SEGUL ignore datatype,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/jarvis_2014_uce_filtered_w_gator,0:00.99,533196,238%
Alignment Concatenation,Benchmarking SEGUL ignore datatype,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/jarvis_2014_uce_filtered_w_gator,0:00.99,522616,238%
Alignment Concatenation,Benchmarking SEGUL ignore datatype,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/jarvis_2014_uce_filtered_w_gator,0:00.98,528756,227%
Alignment Concatenation,Benchmarking SEGUL ignore datatype,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/chan_2020_loci/,0:00.88,391304,281%
Alignment Concatenation,Benchmarking SEGUL ignore datatype,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/chan_2020_loci/,0:00.89,392744,277%
Alignment Concatenation,Benchmarking SEGUL ignore datatype,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/chan_2020_loci/,0:00.90,385984,282%
Alignment Concatenation,Benchmarking SEGUL ignore datatype,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/chan_2020_loci/,0:00.89,392000,276%
Alignment Concatenation,Benchmarking SEGUL ignore datatype,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/chan_2020_loci/,0:00.90,392232,280%
Alignment Concatenation,Benchmarking SEGUL ignore datatype,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/chan_2020_loci/,0:00.90,386092,273%
Alignment Concatenation,Benchmarking SEGUL ignore datatype,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/chan_2020_loci/,0:00.90,392572,276%
Alignment Concatenation,Benchmarking SEGUL ignore datatype,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/chan_2020_loci/,0:00.89,387176,273%
Alignment Concatenation,Benchmarking SEGUL ignore datatype,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/chan_2020_loci/,0:00.90,392256,279%
Alignment Concatenation,Benchmarking SEGUL ignore datatype,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/chan_2020_loci/,0:00.90,383040,267%
Alignment Concatenation,Benchmarking AMAS,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/esselstyn_2021_nexus_trimmed,0:01.70,2053672,783%
Alignment Concatenation,Benchmarking AMAS,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/esselstyn_2021_nexus_trimmed,0:01.67,2052924,796%
Alignment Concatenation,Benchmarking AMAS,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/esselstyn_2021_nexus_trimmed,0:01.65,2052784,807%
Alignment Concatenation,Benchmarking AMAS,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/esselstyn_2021_nexus_trimmed,0:01.59,2052988,832%
Alignment Concatenation,Benchmarking AMAS,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/esselstyn_2021_nexus_trimmed,0:01.60,2055280,841%
Alignment Concatenation,Benchmarking AMAS,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/esselstyn_2021_nexus_trimmed,0:01.68,2055184,777%
Alignment Concatenation,Benchmarking AMAS,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/esselstyn_2021_nexus_trimmed,0:01.66,2056560,797%
Alignment Concatenation,Benchmarking AMAS,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/esselstyn_2021_nexus_trimmed,0:01.68,2053500,795%
Alignment Concatenation,Benchmarking AMAS,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/esselstyn_2021_nexus_trimmed,0:01.65,2052920,797%
Alignment Concatenation,Benchmarking AMAS,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/esselstyn_2021_nexus_trimmed,0:01.69,2054684,783%
Alignment Concatenation,Benchmarking AMAS,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/oliveros_2019_80p_trimmed,0:03.66,2316808,644%
Alignment Concatenation,Benchmarking AMAS,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/oliveros_2019_80p_trimmed,0:03.69,2316584,636%
Alignment Concatenation,Benchmarking AMAS,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/oliveros_2019_80p_trimmed,0:04.35,2314660,555%
Alignment Concatenation,Benchmarking AMAS,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/oliveros_2019_80p_trimmed,0:03.80,2318960,621%
Alignment Concatenation,Benchmarking AMAS,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/oliveros_2019_80p_trimmed,0:03.64,2319552,647%
Alignment Concatenation,Benchmarking AMAS,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/oliveros_2019_80p_trimmed,0:03.62,2316908,646%
Alignment Concatenation,Benchmarking AMAS,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/oliveros_2019_80p_trimmed,0:03.63,2316712,646%
Alignment Concatenation,Benchmarking AMAS,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/oliveros_2019_80p_trimmed,0:03.63,2319348,647%
Alignment Concatenation,Benchmarking AMAS,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/oliveros_2019_80p_trimmed,0:03.60,2318604,649%
Alignment Concatenation,Benchmarking AMAS,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/oliveros_2019_80p_trimmed,0:03.63,2317356,643%
Alignment Concatenation,Benchmarking AMAS,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/jarvis_2014_uce_filtered_w_gator,0:01.56,1841976,1116%
Alignment Concatenation,Benchmarking AMAS,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/jarvis_2014_uce_filtered_w_gator,0:01.59,1842336,1070%
Alignment Concatenation,Benchmarking AMAS,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/jarvis_2014_uce_filtered_w_gator,0:01.57,1844204,1099%
Alignment Concatenation,Benchmarking AMAS,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/jarvis_2014_uce_filtered_w_gator,0:01.60,1842332,1097%
Alignment Concatenation,Benchmarking AMAS,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/jarvis_2014_uce_filtered_w_gator,0:01.58,1844084,1106%
Alignment Concatenation,Benchmarking AMAS,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/jarvis_2014_uce_filtered_w_gator,0:01.52,1841840,1151%
Alignment Concatenation,Benchmarking AMAS,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/jarvis_2014_uce_filtered_w_gator,0:01.61,1842136,1073%
Alignment Concatenation,Benchmarking AMAS,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/jarvis_2014_uce_filtered_w_gator,0:01.58,1842808,1103%
Alignment Concatenation,Benchmarking AMAS,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/jarvis_2014_uce_filtered_w_gator,0:01.54,1842400,1136%
Alignment Concatenation,Benchmarking AMAS,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/jarvis_2014_uce_filtered_w_gator,0:01.51,1842168,1150%
Alignment Concatenation,Benchmarking AMAS,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/chan_2020_loci/,0:01.71,1291744,712%
Alignment Concatenation,Benchmarking AMAS,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/chan_2020_loci/,0:01.69,1292460,720%
Alignment Concatenation,Benchmarking AMAS,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/chan_2020_loci/,0:01.70,1291976,711%
Alignment Concatenation,Benchmarking AMAS,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/chan_2020_loci/,0:01.79,1291864,695%
Alignment Concatenation,Benchmarking AMAS,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/chan_2020_loci/,0:01.69,1292032,729%
Alignment Concatenation,Benchmarking AMAS,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/chan_2020_loci/,0:01.66,1291704,734%
Alignment Concatenation,Benchmarking AMAS,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/chan_2020_loci/,0:01.77,1292156,694%
Alignment Concatenation,Benchmarking AMAS,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/chan_2020_loci/,0:01.71,1291932,725%
Alignment Concatenation,Benchmarking AMAS,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/chan_2020_loci/,0:01.79,1292248,678%
Alignment Concatenation,Benchmarking AMAS,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/chan_2020_loci/,0:01.70,1294424,731%
Alignment Concatenation,Benchmarking AMAS Check Align,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/esselstyn_2021_nexus_trimmed,0:10.75,2053832,208%
Alignment Concatenation,Benchmarking AMAS Check Align,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/esselstyn_2021_nexus_trimmed,0:10.94,2054988,207%
Alignment Concatenation,Benchmarking AMAS Check Align,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/esselstyn_2021_nexus_trimmed,0:11.02,2056520,206%
Alignment Concatenation,Benchmarking AMAS Check Align,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/esselstyn_2021_nexus_trimmed,0:10.85,2056672,204%
Alignment Concatenation,Benchmarking AMAS Check Align,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/esselstyn_2021_nexus_trimmed,0:10.86,2055132,207%
Alignment Concatenation,Benchmarking AMAS Check Align,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/esselstyn_2021_nexus_trimmed,0:11.02,2054812,206%
Alignment Concatenation,Benchmarking AMAS Check Align,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/esselstyn_2021_nexus_trimmed,0:10.88,2054596,206%
Alignment Concatenation,Benchmarking AMAS Check Align,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/esselstyn_2021_nexus_trimmed,0:10.79,2053472,207%
Alignment Concatenation,Benchmarking AMAS Check Align,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/esselstyn_2021_nexus_trimmed,0:10.65,2053108,211%
Alignment Concatenation,Benchmarking AMAS Check Align,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/esselstyn_2021_nexus_trimmed,0:10.80,2054872,207%
Alignment Concatenation,Benchmarking AMAS Check Align,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/oliveros_2019_80p_trimmed,5:49.13,2316772,105%
Alignment Concatenation,Benchmarking AMAS Check Align,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/oliveros_2019_80p_trimmed,3:21.94,2314416,109%
Alignment Concatenation,Benchmarking AMAS Check Align,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/oliveros_2019_80p_trimmed,3:10.57,2314836,110%
Alignment Concatenation,Benchmarking AMAS Check Align,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/oliveros_2019_80p_trimmed,3:16.65,2316192,110%
Alignment Concatenation,Benchmarking AMAS Check Align,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/oliveros_2019_80p_trimmed,3:20.01,2314504,109%
Alignment Concatenation,Benchmarking AMAS Check Align,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/oliveros_2019_80p_trimmed,3:13.55,2314332,110%
Alignment Concatenation,Benchmarking AMAS Check Align,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/oliveros_2019_80p_trimmed,3:18.04,2314700,110%
Alignment Concatenation,Benchmarking AMAS Check Align,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/oliveros_2019_80p_trimmed,3:31.66,2314596,109%
Alignment Concatenation,Benchmarking AMAS Check Align,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/oliveros_2019_80p_trimmed,3:43.76,2314600,108%
Alignment Concatenation,Benchmarking AMAS Check Align,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/oliveros_2019_80p_trimmed,3:11.79,2317004,110%
Alignment Concatenation,Benchmarking AMAS Check Align,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/jarvis_2014_uce_filtered_w_gator,0:05.52,1842104,390%
Alignment Concatenation,Benchmarking AMAS Check Align,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/jarvis_2014_uce_filtered_w_gator,0:05.44,1844324,394%
Alignment Concatenation,Benchmarking AMAS Check Align,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/jarvis_2014_uce_filtered_w_gator,0:05.48,1843688,392%
Alignment Concatenation,Benchmarking AMAS Check Align,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/jarvis_2014_uce_filtered_w_gator,0:05.43,1842252,396%
Alignment Concatenation,Benchmarking AMAS Check Align,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/jarvis_2014_uce_filtered_w_gator,0:05.55,1841800,387%
Alignment Concatenation,Benchmarking AMAS Check Align,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/jarvis_2014_uce_filtered_w_gator,0:05.48,1841992,391%
Alignment Concatenation,Benchmarking AMAS Check Align,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/jarvis_2014_uce_filtered_w_gator,0:05.47,1842372,391%
Alignment Concatenation,Benchmarking AMAS Check Align,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/jarvis_2014_uce_filtered_w_gator,0:05.49,1842056,384%
Alignment Concatenation,Benchmarking AMAS Check Align,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/jarvis_2014_uce_filtered_w_gator,0:05.51,1841888,391%
Alignment Concatenation,Benchmarking AMAS Check Align,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/jarvis_2014_uce_filtered_w_gator,0:05.53,1841968,387%
Alignment Concatenation,Benchmarking AMAS Check Align,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/chan_2020_loci/,0:09.94,1288728,207%
Alignment Concatenation,Benchmarking AMAS Check Align,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/chan_2020_loci/,0:10.57,1288680,201%
Alignment Concatenation,Benchmarking AMAS Check Align,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/chan_2020_loci/,0:10.29,1289732,202%
Alignment Concatenation,Benchmarking AMAS Check Align,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/chan_2020_loci/,0:10.07,1290652,205%
Alignment Concatenation,Benchmarking AMAS Check Align,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/chan_2020_loci/,0:10.00,1288788,206%
Alignment Concatenation,Benchmarking AMAS Check Align,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/chan_2020_loci/,0:09.95,1287160,207%
Alignment Concatenation,Benchmarking AMAS Check Align,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/chan_2020_loci/,0:10.38,1288900,201%
Alignment Concatenation,Benchmarking AMAS Check Align,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/chan_2020_loci/,0:10.36,1288900,202%
Alignment Concatenation,Benchmarking AMAS Check Align,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/chan_2020_loci/,0:10.29,1290924,202%
Alignment Concatenation,Benchmarking AMAS Check Align,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/chan_2020_loci/,0:13.84,1288800,176%
Alignment Concatenation,Benchmarking SEGUL,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/wu_2018_aa_loci/,0:02.61,350760,131%
Alignment Concatenation,Benchmarking SEGUL,openSUSE,AMD Ryzen 9 3900X 12-Core Processor,alignments/wu_2018_aa_loci/,0:02.66,352360,134%
